tile,tp,fp,fn,tn,iou,precision,recall,f1
chimanimani_s2_1041.h5,848,3517,1046,10973,0.1567,0.1943,0.4477,0.2710
chimanimani_s2_1019.h5,1192,3254,1297,10641,0.2076,0.2681,0.4789,0.3438
chimanimani_s2_1223.h5,3081,48,4487,8768,0.4045,0.9847,0.4071,0.5760
chimanimani_s2_1019.h5,420,4528,3,11433,0.0848,0.0849,0.9929,0.1564
chimanimani_s2_1019.h5,0,4524,5,11855,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,1364,3421,1078,10521,0.2326,0.2851,0.5586,0.3775
chimanimani_s2_1041.h5,1497,1473,2980,10434,0.2516,0.5040,0.3344,0.4020
chimanimani_s2_1264.h5,628,3137,1273,11346,0.1247,0.1668,0.3304,0.2217
chimanimani_s2_1295.h5,1055,887,3491,10951,0.1942,0.5433,0.2321,0.3252
chimanimani_s2_1295.h5,412,4162,192,11618,0.0864,0.0901,0.6821,0.1591
chimanimani_s2_1019.h5,2749,1350,2933,9352,0.3909,0.6707,0.4838,0.5621
chimanimani_s2_1223.h5,1735,2341,1912,10396,0.2897,0.4257,0.4757,0.4493
chimanimani_s2_1041.h5,7855,4041,212,4276,0.6487,0.6603,0.9737,0.7870
chimanimani_s2_1390.h5,0,4229,0,12155,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,1776,1116,3097,10395,0.2965,0.6141,0.3645,0.4574
chimanimani_s2_1295.h5,3049,2435,1737,9163,0.4222,0.5560,0.6371,0.5938
chimanimani_s2_1222.h5,563,4090,68,11663,0.1193,0.1210,0.8922,0.2131
chimanimani_s2_126.h5,0,4010,125,12249,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,119,3971,157,12137,0.0280,0.0291,0.4312,0.0545
chimanimani_s2_1223.h5,1683,2667,1459,10575,0.2897,0.3869,0.5356,0.4493
chimanimani_s2_1390.h5,2194,1082,3021,10087,0.3484,0.6697,0.4207,0.5168
chimanimani_s2_1390.h5,778,2305,1773,11528,0.1602,0.2524,0.3050,0.2762
chimanimani_s2_126.h5,1121,3342,720,11201,0.2163,0.2512,0.6089,0.3556
chimanimani_s2_1223.h5,222,1734,2252,12176,0.0528,0.1135,0.0897,0.1002
chimanimani_s2_1264.h5,1281,1651,2310,11142,0.2444,0.4369,0.3567,0.3928
chimanimani_s2_1390.h5,816,3309,626,11633,0.1718,0.1978,0.5659,0.2932
chimanimani_s2_1295.h5,1034,261,3632,11457,0.2099,0.7985,0.2216,0.3469
chimanimani_s2_1041.h5,2501,1342,2512,10029,0.3935,0.6508,0.4989,0.5648
chimanimani_s2_1222.h5,99,3820,17,12448,0.0252,0.0253,0.8534,0.0491
chimanimani_s2_1223.h5,3612,2246,1555,8971,0.4873,0.6166,0.6991,0.6552
chimanimani_s2_1390.h5,1078,1869,1910,11527,0.2219,0.3658,0.3608,0.3633
chimanimani_s2_126.h5,520,3461,290,12113,0.1218,0.1306,0.6420,0.2171
chimanimani_s2_1041.h5,0,3375,362,12647,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,219,3690,19,12456,0.0558,0.0560,0.9202,0.1056
chimanimani_s2_126.h5,449,3578,113,12244,0.1085,0.1115,0.7989,0.1957
chimanimani_s2_1019.h5,2265,2135,1545,10439,0.3810,0.5148,0.5945,0.5518
chimanimani_s2_1222.h5,1657,520,3143,11064,0.3115,0.7611,0.3452,0.4750
chimanimani_s2_1390.h5,188,3133,511,12552,0.0491,0.0566,0.2690,0.0935
chimanimani_s2_1223.h5,360,3619,16,12389,0.0901,0.0905,0.9574,0.1653
chimanimani_s2_1222.h5,2052,2501,1100,10731,0.3630,0.4507,0.6510,0.5326
chimanimani_s2_1295.h5,1124,2305,1295,11660,0.2379,0.3278,0.4647,0.3844
chimanimani_s2_1223.h5,1040,1120,2472,11752,0.2245,0.4815,0.2961,0.3667
chimanimani_s2_1222.h5,1069,334,3253,11728,0.2296,0.7619,0.2473,0.3734
chimanimani_s2_1295.h5,2052,2603,982,10747,0.3640,0.4408,0.6763,0.5337
chimanimani_s2_1019.h5,1428,2357,1212,11387,0.2858,0.3773,0.5409,0.4445
chimanimani_s2_1264.h5,1009,3530,26,11819,0.2210,0.2223,0.9749,0.3620
chimanimani_s2_1019.h5,3184,892,2643,9665,0.4739,0.7812,0.5464,0.6430
chimanimani_s2_1390.h5,1283,1630,1904,11567,0.2663,0.4404,0.4026,0.4207
chimanimani_s2_1041.h5,1430,1860,1669,11425,0.2884,0.4347,0.4614,0.4476
chimanimani_s2_1390.h5,3763,3189,336,9096,0.5163,0.5413,0.9180,0.6810
chimanimani_s2_1295.h5,862,3516,8,11998,0.1965,0.1969,0.9908,0.3285
chimanimani_s2_1222.h5,647,3050,423,12264,0.1570,0.1750,0.6047,0.2714
chimanimani_s2_1019.h5,69,3362,77,12876,0.0197,0.0201,0.4726,0.0386
chimanimani_s2_1223.h5,1227,1956,1477,11724,0.2633,0.3855,0.4538,0.4169
chimanimani_s2_1264.h5,0,3351,64,12969,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,1550,3022,379,11433,0.3131,0.3390,0.8035,0.4768
chimanimani_s2_1041.h5,184,3362,0,12838,0.0519,0.0519,1.0000,0.0987
chimanimani_s2_1222.h5,228,3049,297,12810,0.0638,0.0696,0.4343,0.1199
chimanimani_s2_1295.h5,1892,1597,1737,11158,0.3620,0.5423,0.5214,0.5316
chimanimani_s2_1019.h5,38,3184,149,13013,0.0113,0.0118,0.2032,0.0223
chimanimani_s2_1295.h5,728,3323,8,12325,0.1794,0.1797,0.9891,0.3042
chimanimani_s2_1222.h5,279,2720,605,12780,0.0774,0.0930,0.3156,0.1437
chimanimani_s2_1390.h5,6,3291,6,13081,0.0018,0.0018,0.5000,0.0036
chimanimani_s2_1390.h5,52,3066,217,13049,0.0156,0.0167,0.1933,0.0307
chimanimani_s2_1019.h5,101,3271,0,13012,0.0300,0.0300,1.0000,0.0582
chimanimani_s2_126.h5,11,3174,79,13120,0.0034,0.0035,0.1222,0.0067
chimanimani_s2_126.h5,482,1817,1405,12680,0.1301,0.2097,0.2554,0.2303
chimanimani_s2_1264.h5,1111,1408,1796,12069,0.2575,0.4410,0.3822,0.4095
chimanimani_s2_1390.h5,3150,2198,1005,10031,0.4958,0.5890,0.7581,0.6629
chimanimani_s2_1223.h5,1365,235,2940,11844,0.3007,0.8531,0.3171,0.4623
chimanimani_s2_1390.h5,437,3090,83,12774,0.1211,0.1239,0.8404,0.2160
chimanimani_s2_1222.h5,409,670,2472,12833,0.1152,0.3791,0.1420,0.2066
chimanimani_s2_1041.h5,109,2941,194,13140,0.0336,0.0357,0.3597,0.0650
chimanimani_s2_1223.h5,862,554,2580,12388,0.2157,0.6088,0.2504,0.3549
chimanimani_s2_1222.h5,223,471,2660,13030,0.0665,0.3213,0.0773,0.1247
chimanimani_s2_1264.h5,1321,1939,1148,11976,0.2997,0.4052,0.5350,0.4612
chimanimani_s2_126.h5,426,1049,2027,12882,0.1216,0.2888,0.1737,0.2169
chimanimani_s2_1295.h5,613,2385,650,12736,0.1680,0.2045,0.4854,0.2877
chimanimani_s2_1264.h5,1338,149,2866,12031,0.3074,0.8998,0.3183,0.4702
chimanimani_s2_1041.h5,639,612,2386,12747,0.1757,0.5108,0.2112,0.2989
chimanimani_s2_1223.h5,371,2718,273,13022,0.1104,0.1201,0.5761,0.1988
chimanimani_s2_1222.h5,928,1944,1028,12484,0.2379,0.3231,0.4744,0.3844
chimanimani_s2_1223.h5,58,2878,88,13360,0.0192,0.0198,0.3973,0.0376
chimanimani_s2_1295.h5,1393,2878,88,12025,0.3196,0.3262,0.9406,0.4844
chimanimani_s2_1295.h5,653,1308,1650,12773,0.1808,0.3330,0.2835,0.3063
chimanimani_s2_126.h5,98,1982,953,13351,0.0323,0.0471,0.0932,0.0626
chimanimani_s2_126.h5,2323,806,2095,11160,0.4447,0.7424,0.5258,0.6156
chimanimani_s2_1041.h5,41,2622,276,13445,0.0140,0.0154,0.1293,0.0275
chimanimani_s2_126.h5,2838,1012,1865,10669,0.4966,0.7371,0.6034,0.6636
chimanimani_s2_1041.h5,617,1434,1435,12898,0.1770,0.3008,0.3007,0.3008
chimanimani_s2_1390.h5,536,1974,885,12989,0.1579,0.2135,0.3772,0.2727
chimanimani_s2_1222.h5,772,2738,105,12769,0.2136,0.2199,0.8803,0.3519
chimanimani_s2_1264.h5,0,2792,44,13548,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,1977,1797,1039,11571,0.4108,0.5238,0.6555,0.5823
chimanimani_s2_1041.h5,2322,863,1957,11242,0.4516,0.7290,0.5427,0.6222
chimanimani_s2_1264.h5,1562,1874,946,12002,0.3565,0.4546,0.6228,0.5256
chimanimani_s2_1264.h5,14,2610,202,13558,0.0050,0.0053,0.0648,0.0099
chimanimani_s2_1264.h5,888,1386,1425,12685,0.2401,0.3905,0.3839,0.3872
chimanimani_s2_1041.h5,1976,1552,1258,11598,0.4129,0.5601,0.6110,0.5844
chimanimani_s2_1295.h5,378,2700,99,13207,0.1190,0.1228,0.7925,0.2127
chimanimani_s2_1041.h5,1950,735,2040,11659,0.4127,0.7263,0.4887,0.5843
chimanimani_s2_1222.h5,330,2465,304,13285,0.1065,0.1181,0.5205,0.1925
chimanimani_s2_1019.h5,2034,2400,363,11587,0.4240,0.4587,0.8486,0.5955
chimanimani_s2_1223.h5,1094,2116,645,12529,0.2838,0.3408,0.6291,0.4421
chimanimani_s2_1223.h5,350,529,2227,13278,0.1127,0.3982,0.1358,0.2025
chimanimani_s2_1222.h5,1561,579,2171,12073,0.3621,0.7294,0.4183,0.5317
chimanimani_s2_1019.h5,2087,2103,646,11548,0.4316,0.4981,0.7636,0.6029
chimanimani_s2_1390.h5,89,2688,55,13552,0.0314,0.0320,0.6181,0.0609
chimanimani_s2_1390.h5,524,2715,16,13129,0.1610,0.1618,0.9704,0.2773
chimanimani_s2_1295.h5,230,2021,710,13423,0.0777,0.1022,0.2447,0.1442
chimanimani_s2_1390.h5,2957,1316,1405,10706,0.5208,0.6920,0.6779,0.6849
chimanimani_s2_1222.h5,3367,1022,1682,10313,0.5546,0.7671,0.6669,0.7135
chimanimani_s2_1390.h5,230,2288,405,13461,0.0787,0.0913,0.3622,0.1459
chimanimani_s2_1295.h5,503,2676,0,13205,0.1582,0.1582,1.0000,0.2732
chimanimani_s2_1019.h5,244,2524,125,13491,0.0843,0.0882,0.6612,0.1556
chimanimani_s2_1019.h5,607,2364,280,13133,0.1867,0.2043,0.6843,0.3147
chimanimani_s2_1041.h5,406,2579,63,13336,0.1332,0.1360,0.8657,0.2351
chimanimani_s2_1295.h5,289,880,1751,13464,0.0990,0.2472,0.1417,0.1801
chimanimani_s2_1223.h5,493,2317,304,13270,0.1583,0.1754,0.6186,0.2734
chimanimani_s2_1264.h5,1536,1728,878,12242,0.3708,0.4706,0.6363,0.5410
chimanimani_s2_1264.h5,2301,2586,9,11488,0.4700,0.4708,0.9961,0.6394
chimanimani_s2_1041.h5,1068,1145,1438,12733,0.2925,0.4826,0.4262,0.4526
chimanimani_s2_1390.h5,383,2169,414,13418,0.1291,0.1501,0.4806,0.2287
chimanimani_s2_1019.h5,4,2573,6,13801,0.0015,0.0016,0.4000,0.0031
chimanimani_s2_126.h5,1789,1088,1478,12029,0.4108,0.6218,0.5476,0.5824
chimanimani_s2_1223.h5,147,2461,105,13671,0.0542,0.0564,0.5833,0.1028
chimanimani_s2_1041.h5,390,2160,400,13434,0.1322,0.1529,0.4937,0.2335
chimanimani_s2_126.h5,1444,999,1517,12424,0.3646,0.5911,0.4877,0.5344
chimanimani_s2_1390.h5,1504,1269,1245,12366,0.3743,0.5424,0.5471,0.5447
chimanimani_s2_1019.h5,66,2478,14,13826,0.0258,0.0259,0.8250,0.0503
chimanimani_s2_1223.h5,1257,1815,658,12654,0.3370,0.4092,0.6564,0.5041
chimanimani_s2_126.h5,254,1781,690,13659,0.0932,0.1248,0.2691,0.1705
chimanimani_s2_1041.h5,1152,1087,1383,12762,0.3181,0.5145,0.4544,0.4826
chimanimani_s2_1019.h5,466,1499,967,13452,0.1589,0.2372,0.3252,0.2743
chimanimani_s2_1295.h5,1843,1379,1083,12079,0.4281,0.5720,0.6299,0.5995
chimanimani_s2_1264.h5,1585,1074,1373,12352,0.3931,0.5961,0.5358,0.5644
chimanimani_s2_1223.h5,405,337,2104,13538,0.1423,0.5458,0.1614,0.2492
chimanimani_s2_1295.h5,1015,871,1565,12933,0.2941,0.5382,0.3934,0.4545
chimanimani_s2_126.h5,492,2189,219,13484,0.1697,0.1835,0.6920,0.2901
chimanimani_s2_1223.h5,1168,2220,184,12812,0.3270,0.3447,0.8639,0.4928
chimanimani_s2_1041.h5,1722,2082,299,12281,0.4197,0.4527,0.8521,0.5912
chimanimani_s2_1295.h5,396,2230,91,13667,0.1457,0.1508,0.8131,0.2544
chimanimani_s2_1295.h5,478,1966,354,13586,0.1708,0.1956,0.5745,0.2918
chimanimani_s2_1041.h5,638,1818,500,13428,0.2158,0.2598,0.5606,0.3550
chimanimani_s2_1019.h5,686,1660,651,13387,0.2289,0.2924,0.5131,0.3725
chimanimani_s2_1223.h5,132,2271,34,13947,0.0542,0.0549,0.7952,0.1028
chimanimani_s2_1264.h5,39,2163,132,14050,0.0167,0.0177,0.2281,0.0329
chimanimani_s2_1390.h5,0,2287,2,14095,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,86,1175,1095,14028,0.0365,0.0682,0.0728,0.0704
chimanimani_s2_1295.h5,376,1493,773,13742,0.1423,0.2012,0.3272,0.2492
chimanimani_s2_1041.h5,0,2241,7,14136,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,54,2225,17,14088,0.0235,0.0237,0.7606,0.0460
chimanimani_s2_1222.h5,66,219,2014,14085,0.0287,0.2316,0.0317,0.0558
chimanimani_s2_126.h5,765,540,1689,13390,0.2555,0.5862,0.3117,0.4070
chimanimani_s2_1222.h5,199,1698,528,13959,0.0821,0.1049,0.2737,0.1517
chimanimani_s2_1264.h5,7,2195,0,14182,0.0032,0.0032,1.0000,0.0063
chimanimani_s2_1264.h5,545,2030,156,13653,0.1996,0.2117,0.7775,0.3327
chimanimani_s2_1295.h5,54,2150,23,14157,0.0242,0.0245,0.7013,0.0473
chimanimani_s2_1222.h5,507,1586,560,13731,0.1911,0.2422,0.4752,0.3209
chimanimani_s2_1223.h5,0,2131,0,14253,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,3255,594,1518,11017,0.6065,0.8457,0.6820,0.7550
chimanimani_s2_1222.h5,394,1914,187,13889,0.1579,0.1707,0.6781,0.2728
chimanimani_s2_1019.h5,14,2100,1,14269,0.0066,0.0066,0.9333,0.0132
chimanimani_s2_126.h5,0,2098,0,14286,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,285,1900,193,14006,0.1198,0.1304,0.5962,0.2140
chimanimani_s2_1019.h5,666,1714,337,13667,0.2451,0.2798,0.6640,0.3937
chimanimani_s2_1264.h5,646,1864,186,13688,0.2396,0.2574,0.7764,0.3866
chimanimani_s2_1223.h5,166,1897,144,14177,0.0752,0.0805,0.5355,0.1399
chimanimani_s2_1041.h5,110,1676,357,14241,0.0513,0.0616,0.2355,0.0976
chimanimani_s2_1222.h5,1532,434,1572,12846,0.4330,0.7792,0.4936,0.6043
chimanimani_s2_126.h5,1496,1283,674,12931,0.4332,0.5383,0.6894,0.6046
chimanimani_s2_1222.h5,57,1957,0,14370,0.0283,0.0283,1.0000,0.0550
chimanimani_s2_1222.h5,1510,46,1894,12934,0.4377,0.9704,0.4436,0.6089
chimanimani_s2_1295.h5,94,1128,802,14360,0.0464,0.0769,0.1049,0.0888
chimanimani_s2_1295.h5,810,817,1105,13652,0.2965,0.4978,0.4230,0.4574
chimanimani_s2_126.h5,0,1635,283,14466,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,177,1814,101,14292,0.0846,0.0889,0.6367,0.1560
chimanimani_s2_1264.h5,504,1849,64,13967,0.2085,0.2142,0.8873,0.3451
chimanimani_s2_1264.h5,68,1211,696,14409,0.0344,0.0532,0.0890,0.0666
chimanimani_s2_1041.h5,399,1671,222,14092,0.1741,0.1928,0.6425,0.2965
chimanimani_s2_1019.h5,114,1577,314,14379,0.0569,0.0674,0.2664,0.1076
chimanimani_s2_1223.h5,6611,1149,733,7891,0.7784,0.8519,0.9002,0.8754
chimanimani_s2_126.h5,1673,110,1772,12829,0.4706,0.9383,0.4856,0.6400
chimanimani_s2_1019.h5,950,1283,592,13559,0.3363,0.4254,0.6161,0.5033
chimanimani_s2_1390.h5,269,1801,61,14253,0.1262,0.1300,0.8152,0.2242
chimanimani_s2_1223.h5,345,1147,698,14194,0.1575,0.2312,0.3308,0.2722
chimanimani_s2_1041.h5,644,1354,488,13898,0.2591,0.3223,0.5689,0.4115
chimanimani_s2_1264.h5,300,132,1707,14245,0.1403,0.6944,0.1495,0.2460
chimanimani_s2_126.h5,194,890,947,14353,0.0955,0.1790,0.1700,0.1744
chimanimani_s2_126.h5,163,777,1058,14386,0.0816,0.1734,0.1335,0.1509
chimanimani_s2_1222.h5,83,1795,39,14467,0.0433,0.0442,0.6803,0.0830
chimanimani_s2_1041.h5,2576,1825,5,11978,0.5847,0.5853,0.9981,0.7379
chimanimani_s2_1222.h5,82,1560,265,14477,0.0430,0.0499,0.2363,0.0825
chimanimani_s2_1390.h5,142,934,883,14425,0.0725,0.1320,0.1385,0.1352
chimanimani_s2_1222.h5,1119,13,1802,13450,0.3814,0.9885,0.3831,0.5522
chimanimani_s2_1041.h5,149,0,1811,14424,0.0760,1.0000,0.0760,0.1413
chimanimani_s2_1223.h5,258,1386,419,14321,0.1251,0.1569,0.3811,0.2223
chimanimani_s2_126.h5,463,181,1620,14120,0.2045,0.7189,0.2223,0.3396
chimanimani_s2_1390.h5,136,1632,154,14462,0.0708,0.0769,0.4690,0.1322
chimanimani_s2_1295.h5,213,1236,537,14398,0.1073,0.1470,0.2840,0.1937
chimanimani_s2_1041.h5,159,1572,194,14459,0.0826,0.0919,0.4504,0.1526
chimanimani_s2_1390.h5,1392,666,1099,13227,0.4409,0.6764,0.5588,0.6120
chimanimani_s2_1390.h5,180,79,1685,14440,0.0926,0.6950,0.0965,0.1695
chimanimani_s2_1019.h5,52,1629,132,14571,0.0287,0.0309,0.2826,0.0558
chimanimani_s2_1264.h5,46,1599,162,14577,0.0255,0.0280,0.2212,0.0496
chimanimani_s2_1390.h5,103,1657,103,14521,0.0553,0.0585,0.5000,0.1048
chimanimani_s2_1019.h5,128,1066,681,14509,0.0683,0.1072,0.1582,0.1278
chimanimani_s2_1390.h5,0,1683,64,14637,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,0,1708,37,14639,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,1524,614,1055,13191,0.4773,0.7128,0.5909,0.6462
chimanimani_s2_1019.h5,927,1272,386,13799,0.3586,0.4216,0.7060,0.5279
chimanimani_s2_1264.h5,0,1639,6,14739,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,244,914,725,14501,0.1296,0.2107,0.2518,0.2294
chimanimani_s2_1390.h5,73,1621,8,14682,0.0429,0.0431,0.9012,0.0823
chimanimani_s2_1222.h5,53,1568,36,14727,0.0320,0.0327,0.5955,0.0620
chimanimani_s2_1041.h5,0,1604,0,14780,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,6493,52,1551,8288,0.8020,0.9921,0.8072,0.8901
chimanimani_s2_1264.h5,115,1600,0,14669,0.0671,0.0671,1.0000,0.1257
chimanimani_s2_1390.h5,299,739,849,14497,0.1585,0.2881,0.2605,0.2736
chimanimani_s2_126.h5,76,1558,24,14726,0.0458,0.0465,0.7600,0.0877
chimanimani_s2_1223.h5,369,1539,43,14433,0.1891,0.1934,0.8956,0.3181
chimanimani_s2_1041.h5,394,777,804,14409,0.1995,0.3365,0.3289,0.3326
chimanimani_s2_1222.h5,484,796,778,14326,0.2352,0.3781,0.3835,0.3808
chimanimani_s2_1019.h5,491,9,1556,14328,0.2388,0.9820,0.2399,0.3856
chimanimani_s2_1019.h5,278,941,616,14549,0.1515,0.2281,0.3110,0.2631
chimanimani_s2_1223.h5,343,418,1137,14486,0.1807,0.4507,0.2318,0.3061
chimanimani_s2_1019.h5,112,873,682,14717,0.0672,0.1137,0.1411,0.1259
chimanimani_s2_1264.h5,726,984,568,14106,0.3187,0.4246,0.5611,0.4834
chimanimani_s2_126.h5,251,226,1323,14584,0.1394,0.5262,0.1595,0.2448
chimanimani_s2_1222.h5,417,826,719,14422,0.2125,0.3355,0.3671,0.3506
chimanimani_s2_1019.h5,1036,384,1158,13806,0.4019,0.7296,0.4722,0.5733
chimanimani_s2_1041.h5,0,1360,175,14849,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,221,1432,100,14631,0.1261,0.1337,0.6885,0.2239
chimanimani_s2_1295.h5,156,1429,97,14702,0.0927,0.0984,0.6166,0.1697
chimanimani_s2_1223.h5,45,1451,74,14814,0.0287,0.0301,0.3782,0.0557
chimanimani_s2_1041.h5,369,1323,201,14491,0.1949,0.2181,0.6474,0.3263
chimanimani_s2_1019.h5,87,1516,7,14774,0.0540,0.0543,0.9255,0.1025
chimanimani_s2_1390.h5,0,1522,0,14862,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,85,1456,56,14787,0.0532,0.0552,0.6028,0.1011
chimanimani_s2_126.h5,0,1507,3,14874,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,36,1407,98,14843,0.0234,0.0249,0.2687,0.0457
chimanimani_s2_1223.h5,66,0,1502,14816,0.0421,1.0000,0.0421,0.0808
chimanimani_s2_1390.h5,426,745,756,14457,0.2211,0.3638,0.3604,0.3621
chimanimani_s2_1295.h5,1225,417,1071,13671,0.4515,0.7460,0.5335,0.6221
chimanimani_s2_1222.h5,215,45,1438,14686,0.1266,0.8269,0.1301,0.2248
chimanimani_s2_1295.h5,3420,169,1314,11481,0.6975,0.9529,0.7224,0.8218
chimanimani_s2_1390.h5,0,1483,0,14901,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,220,424,1055,14685,0.1295,0.3416,0.1725,0.2293
chimanimani_s2_1264.h5,149,1035,419,14781,0.0930,0.1258,0.2623,0.1701
