tile,tp,fp,fn,tn,iou,precision,recall,f1
chimanimani_s2_1019.h5,1265,3344,1224,10551,0.2169,0.2745,0.5082,0.3564
chimanimani_s2_1041.h5,865,3528,1029,10962,0.1595,0.1969,0.4567,0.2752
chimanimani_s2_1223.h5,3089,48,4479,8768,0.4056,0.9847,0.4082,0.5771
chimanimani_s2_126.h5,2075,652,3857,9800,0.3152,0.7609,0.3498,0.4793
chimanimani_s2_1264.h5,674,3278,1227,11205,0.1301,0.1705,0.3546,0.2303
chimanimani_s2_1019.h5,1594,3413,1046,10331,0.2633,0.3184,0.6038,0.4169
chimanimani_s2_1390.h5,1391,626,3824,10543,0.2381,0.6896,0.2667,0.3847
chimanimani_s2_1295.h5,692,3837,571,11284,0.1357,0.1528,0.5479,0.2390
chimanimani_s2_1041.h5,1552,1482,2925,10425,0.2604,0.5115,0.3467,0.4133
chimanimani_s2_1295.h5,2747,2361,2039,9237,0.3844,0.5378,0.5740,0.5553
chimanimani_s2_1295.h5,698,520,3848,11318,0.1378,0.5731,0.1535,0.2422
chimanimani_s2_1223.h5,1748,2452,1899,10285,0.2866,0.4162,0.4793,0.4455
chimanimani_s2_1264.h5,1022,4245,13,11104,0.1936,0.1940,0.9874,0.3243
chimanimani_s2_126.h5,12,4121,113,12138,0.0028,0.0029,0.0960,0.0056
chimanimani_s2_1019.h5,2118,3914,279,10073,0.3356,0.3511,0.8836,0.5026
chimanimani_s2_1264.h5,1782,1091,3091,10420,0.2988,0.6203,0.3657,0.4601
chimanimani_s2_1019.h5,2482,969,3200,9733,0.3732,0.7192,0.4368,0.5435
chimanimani_s2_1223.h5,1879,2808,1263,10434,0.3158,0.4009,0.5980,0.4800
chimanimani_s2_1041.h5,2526,1559,2487,9812,0.3844,0.6184,0.5039,0.5553
chimanimani_s2_1295.h5,867,4009,3,11505,0.1777,0.1778,0.9966,0.3018
chimanimani_s2_1264.h5,126,3861,150,12247,0.0305,0.0316,0.4565,0.0591
chimanimani_s2_126.h5,13,3931,77,12363,0.0032,0.0033,0.1444,0.0064
chimanimani_s2_1390.h5,189,3493,510,12192,0.0451,0.0513,0.2704,0.0863
chimanimani_s2_126.h5,466,3906,96,11916,0.1043,0.1066,0.8292,0.1889
chimanimani_s2_1041.h5,4,3597,358,12425,0.0010,0.0011,0.0110,0.0020
chimanimani_s2_1295.h5,2000,2905,1034,10445,0.3368,0.4077,0.6592,0.5038
chimanimani_s2_1390.h5,1021,1969,1967,11427,0.2060,0.3415,0.3417,0.3416
chimanimani_s2_1223.h5,133,1583,2341,12327,0.0328,0.0775,0.0538,0.0635
chimanimani_s2_1295.h5,1039,281,3627,11437,0.2100,0.7871,0.2227,0.3471
chimanimani_s2_1390.h5,651,2002,1900,11831,0.1430,0.2454,0.2552,0.2502
chimanimani_s2_1264.h5,1491,1794,2100,10999,0.2769,0.4539,0.4152,0.4337
chimanimani_s2_1019.h5,2273,2312,1537,10262,0.3713,0.4957,0.5966,0.5415
chimanimani_s2_1223.h5,3874,2536,1293,8681,0.5029,0.6044,0.7498,0.6693
chimanimani_s2_1222.h5,2235,2856,917,10376,0.3720,0.4390,0.7091,0.5423
chimanimani_s2_1295.h5,412,3579,192,12201,0.0985,0.1032,0.6821,0.1793
chimanimani_s2_1222.h5,349,1232,2534,12269,0.0848,0.2207,0.1211,0.1564
chimanimani_s2_1041.h5,395,3349,395,12245,0.0954,0.1055,0.5000,0.1742
chimanimani_s2_1295.h5,1129,2352,1290,11613,0.2366,0.3243,0.4667,0.3827
chimanimani_s2_1390.h5,846,3029,596,11913,0.1892,0.2183,0.5867,0.3182
chimanimani_s2_1295.h5,728,3617,8,12031,0.1672,0.1675,0.9891,0.2866
chimanimani_s2_1019.h5,2902,694,2925,9863,0.4450,0.8070,0.4980,0.6159
chimanimani_s2_1390.h5,49,3392,220,12723,0.0134,0.0142,0.1822,0.0264
chimanimani_s2_1222.h5,1551,355,3249,11229,0.3009,0.8137,0.3231,0.4626
chimanimani_s2_1264.h5,0,3536,64,12784,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,2012,2593,1004,10775,0.3587,0.4369,0.6671,0.5280
chimanimani_s2_1222.h5,1069,334,3253,11728,0.2296,0.7619,0.2473,0.3734
chimanimani_s2_1223.h5,360,3554,16,12454,0.0916,0.0920,0.9574,0.1678
chimanimani_s2_1019.h5,80,3488,66,12750,0.0220,0.0224,0.5479,0.0431
chimanimani_s2_1223.h5,378,3267,266,12473,0.0967,0.1037,0.5870,0.1763
chimanimani_s2_1295.h5,503,3519,0,12362,0.1251,0.1251,1.0000,0.2223
chimanimani_s2_1390.h5,0,3446,12,12926,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,659,3047,411,12267,0.1601,0.1778,0.6159,0.2760
chimanimani_s2_1041.h5,1591,1927,1508,11358,0.3166,0.4522,0.5134,0.4809
chimanimani_s2_1223.h5,936,848,2576,12024,0.2147,0.5247,0.2665,0.3535
chimanimani_s2_1019.h5,101,3422,0,12861,0.0287,0.0287,1.0000,0.0557
chimanimani_s2_1041.h5,42,3104,275,12963,0.0123,0.0134,0.1325,0.0243
chimanimani_s2_1222.h5,791,3256,86,12251,0.1914,0.1955,0.9019,0.3213
chimanimani_s2_1222.h5,307,2762,577,12738,0.0842,0.1000,0.3473,0.1553
chimanimani_s2_1390.h5,1102,1216,2085,11981,0.2503,0.4754,0.3458,0.4004
chimanimani_s2_1223.h5,1446,2043,1258,11637,0.3046,0.4144,0.5348,0.4670
chimanimani_s2_1223.h5,1201,191,3104,11888,0.2671,0.8628,0.2790,0.4216
chimanimani_s2_126.h5,499,2978,311,12596,0.1317,0.1435,0.6160,0.2328
chimanimani_s2_1295.h5,729,1699,1574,12382,0.1822,0.3002,0.3165,0.3082
chimanimani_s2_1390.h5,642,2490,779,12473,0.1642,0.2050,0.4518,0.2820
chimanimani_s2_1390.h5,524,3249,16,12595,0.1383,0.1389,0.9704,0.2430
chimanimani_s2_126.h5,0,3257,0,13127,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,1168,3070,184,11962,0.2641,0.2756,0.8639,0.4179
chimanimani_s2_1264.h5,39,3036,177,13132,0.0120,0.0127,0.1806,0.0237
chimanimani_s2_1390.h5,3162,2184,993,10045,0.4988,0.5915,0.7610,0.6656
chimanimani_s2_1264.h5,7,3177,0,13200,0.0022,0.0022,1.0000,0.0044
chimanimani_s2_1222.h5,370,657,2511,12846,0.1046,0.3603,0.1284,0.1894
chimanimani_s2_126.h5,461,1714,1426,12783,0.1280,0.2120,0.2443,0.2270
chimanimani_s2_1019.h5,54,2998,133,13199,0.0170,0.0177,0.2888,0.0333
chimanimani_s2_1264.h5,2305,3122,5,10952,0.4243,0.4247,0.9978,0.5958
chimanimani_s2_1295.h5,1397,3039,84,11864,0.3091,0.3149,0.9433,0.4722
chimanimani_s2_1295.h5,394,3020,83,12887,0.1127,0.1154,0.8260,0.2025
chimanimani_s2_1222.h5,457,2978,124,12825,0.1284,0.1330,0.7866,0.2276
chimanimani_s2_126.h5,432,1067,2021,12864,0.1227,0.2882,0.1761,0.2186
chimanimani_s2_1264.h5,733,1500,1580,12571,0.1922,0.3283,0.3169,0.3225
chimanimani_s2_1223.h5,778,399,2664,12543,0.2026,0.6610,0.2260,0.3369
chimanimani_s2_1019.h5,2088,2402,645,11249,0.4066,0.4650,0.7640,0.5782
chimanimani_s2_1222.h5,315,2880,163,13026,0.0938,0.0986,0.6590,0.1715
chimanimani_s2_1041.h5,645,649,2380,12710,0.1756,0.4985,0.2132,0.2987
chimanimani_s2_1295.h5,244,1229,1796,13115,0.0746,0.1656,0.1196,0.1389
chimanimani_s2_1264.h5,1341,152,2863,12028,0.3079,0.8982,0.3190,0.4708
chimanimani_s2_1223.h5,495,2700,302,12887,0.1415,0.1549,0.6211,0.2480
chimanimani_s2_1264.h5,1,2956,43,13384,0.0003,0.0003,0.0227,0.0007
chimanimani_s2_1222.h5,380,2734,254,13016,0.1128,0.1220,0.5994,0.2028
chimanimani_s2_1222.h5,998,1995,958,12433,0.2526,0.3334,0.5102,0.4033
chimanimani_s2_1264.h5,1574,2017,934,11859,0.3478,0.4383,0.6276,0.5162
chimanimani_s2_1019.h5,362,2499,447,13076,0.1094,0.1265,0.4475,0.1973
chimanimani_s2_1222.h5,226,2635,299,13224,0.0715,0.0790,0.4305,0.1335
chimanimani_s2_126.h5,2869,1090,1834,10591,0.4953,0.7247,0.6100,0.6624
chimanimani_s2_1264.h5,1576,2083,838,11887,0.3505,0.4307,0.6529,0.5190
chimanimani_s2_1264.h5,1279,1714,1190,12201,0.3058,0.4273,0.5180,0.4683
chimanimani_s2_1295.h5,558,2627,274,12925,0.1613,0.1752,0.6707,0.2778
chimanimani_s2_1264.h5,691,2736,141,12816,0.1937,0.2016,0.8305,0.3245
chimanimani_s2_1223.h5,150,2775,102,13357,0.0496,0.0513,0.5952,0.0944
chimanimani_s2_1223.h5,166,2733,144,13341,0.0546,0.0573,0.5355,0.1035
chimanimani_s2_1041.h5,408,2792,61,13123,0.1251,0.1275,0.8699,0.2224
chimanimani_s2_1222.h5,3290,1090,1759,10245,0.5359,0.7511,0.6516,0.6978
chimanimani_s2_1041.h5,2166,729,2113,11376,0.4325,0.7482,0.5062,0.6038
chimanimani_s2_1223.h5,1063,2159,676,12486,0.2727,0.3299,0.6113,0.4285
chimanimani_s2_1223.h5,201,458,2376,13349,0.0662,0.3050,0.0780,0.1242
chimanimani_s2_1295.h5,1904,1802,1022,11656,0.4027,0.5138,0.6507,0.5742
chimanimani_s2_1041.h5,2163,1752,1071,11398,0.4338,0.5525,0.6688,0.6051
chimanimani_s2_1390.h5,89,2763,55,13477,0.0306,0.0312,0.6181,0.0594
chimanimani_s2_1019.h5,66,2791,14,13513,0.0230,0.0231,0.8250,0.0449
chimanimani_s2_1390.h5,396,2399,401,13188,0.1239,0.1417,0.4969,0.2205
chimanimani_s2_126.h5,2477,856,1941,11110,0.4697,0.7432,0.5607,0.6391
chimanimani_s2_1019.h5,611,2517,276,12980,0.1795,0.1953,0.6888,0.3044
chimanimani_s2_1264.h5,704,576,2203,12901,0.2021,0.5500,0.2422,0.3363
chimanimani_s2_1390.h5,273,2392,362,13357,0.0902,0.1024,0.4299,0.1655
chimanimani_s2_1390.h5,0,2734,2,13648,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,597,1279,1455,13053,0.1792,0.3182,0.2909,0.3040
chimanimani_s2_1295.h5,396,2634,91,13263,0.1269,0.1307,0.8131,0.2252
chimanimani_s2_1222.h5,91,2694,31,13568,0.0323,0.0327,0.7459,0.0626
chimanimani_s2_126.h5,85,1746,966,13587,0.0304,0.0464,0.0809,0.0590
chimanimani_s2_1019.h5,575,1854,858,13097,0.1749,0.2367,0.4013,0.2978
chimanimani_s2_1019.h5,244,2565,125,13450,0.0832,0.0869,0.6612,0.1536
chimanimani_s2_1041.h5,2000,698,1990,11696,0.4266,0.7413,0.5013,0.5981
chimanimani_s2_1222.h5,1925,864,1807,11788,0.4188,0.6902,0.5158,0.5904
chimanimani_s2_1019.h5,4,2661,6,13713,0.0015,0.0015,0.4000,0.0030
chimanimani_s2_1041.h5,1131,1259,1375,12619,0.3004,0.4732,0.4513,0.4620
chimanimani_s2_1222.h5,57,2618,0,13709,0.0213,0.0213,1.0000,0.0417
chimanimani_s2_1223.h5,534,640,1975,13235,0.1696,0.4549,0.2128,0.2900
chimanimani_s2_1390.h5,2997,1248,1365,10774,0.5342,0.7060,0.6871,0.6964
chimanimani_s2_1041.h5,1063,1136,1472,12713,0.2896,0.4834,0.4193,0.4491
chimanimani_s2_1223.h5,65,2480,81,13758,0.0248,0.0255,0.4452,0.0483
chimanimani_s2_1295.h5,252,1871,688,13573,0.0896,0.1187,0.2681,0.1645
chimanimani_s2_1223.h5,121,2512,45,13706,0.0452,0.0460,0.7289,0.0865
chimanimani_s2_126.h5,1748,1025,1519,12092,0.4073,0.6304,0.5350,0.5788
chimanimani_s2_126.h5,1469,1050,1492,12373,0.3662,0.5832,0.4961,0.5361
chimanimani_s2_1295.h5,54,2482,23,13825,0.0211,0.0213,0.7013,0.0413
chimanimani_s2_1264.h5,1694,1239,1264,12187,0.4036,0.5776,0.5727,0.5751
chimanimani_s2_1222.h5,136,1457,1045,13746,0.0516,0.0854,0.1152,0.0981
chimanimani_s2_126.h5,492,2250,219,13423,0.1662,0.1794,0.6920,0.2850
chimanimani_s2_1041.h5,645,1974,493,13272,0.2073,0.2463,0.5668,0.3434
chimanimani_s2_1295.h5,700,563,1880,13241,0.2227,0.5542,0.2713,0.3643
chimanimani_s2_1390.h5,75,2391,6,13912,0.0303,0.0304,0.9259,0.0589
chimanimani_s2_1295.h5,407,1649,742,13586,0.1455,0.1980,0.3542,0.2540
chimanimani_s2_1264.h5,39,2258,132,13955,0.0161,0.0170,0.2281,0.0316
chimanimani_s2_1223.h5,1257,1730,658,12739,0.3449,0.4208,0.6564,0.5129
chimanimani_s2_1264.h5,115,2378,0,13891,0.0461,0.0461,1.0000,0.0882
chimanimani_s2_1264.h5,775,1856,519,13234,0.2460,0.2946,0.5989,0.3949
chimanimani_s2_1222.h5,222,1850,505,13807,0.0861,0.1071,0.3054,0.1586
chimanimani_s2_1390.h5,1427,1022,1322,12613,0.3784,0.5827,0.5191,0.5491
chimanimani_s2_1041.h5,0,2330,7,14047,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,794,671,1660,13259,0.2541,0.5420,0.3236,0.4052
chimanimani_s2_126.h5,269,1637,675,13803,0.1042,0.1411,0.2850,0.1888
chimanimani_s2_1041.h5,1524,1805,497,12558,0.3983,0.4578,0.7541,0.5697
chimanimani_s2_1019.h5,667,1956,336,13425,0.2254,0.2543,0.6650,0.3679
chimanimani_s2_126.h5,0,1996,283,14105,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,224,2178,97,13885,0.0896,0.0933,0.6978,0.1645
chimanimani_s2_1390.h5,445,2184,75,13680,0.1646,0.1693,0.8558,0.2826
chimanimani_s2_1019.h5,54,2240,17,14073,0.0234,0.0235,0.7606,0.0457
chimanimani_s2_1264.h5,58,2069,150,14107,0.0255,0.0273,0.2788,0.0497
chimanimani_s2_1019.h5,670,1549,667,13498,0.2322,0.3019,0.5011,0.3768
chimanimani_s2_1019.h5,114,1900,314,14056,0.0490,0.0566,0.2664,0.0934
chimanimani_s2_1295.h5,228,1676,522,13958,0.0940,0.1197,0.3040,0.1718
chimanimani_s2_1222.h5,49,166,2031,14138,0.0218,0.2279,0.0236,0.0427
chimanimani_s2_1041.h5,41,2100,93,14150,0.0184,0.0191,0.3060,0.0360
chimanimani_s2_1222.h5,521,1617,546,13700,0.1941,0.2437,0.4883,0.3251
chimanimani_s2_1264.h5,177,2045,101,14061,0.0762,0.0797,0.6367,0.1416
chimanimani_s2_126.h5,210,1209,931,14034,0.0894,0.1480,0.1840,0.1641
chimanimani_s2_1222.h5,1588,622,1516,12658,0.4262,0.7186,0.5116,0.5977
chimanimani_s2_1223.h5,0,2107,0,14277,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,108,1709,366,14201,0.0495,0.0594,0.2278,0.0943
chimanimani_s2_1295.h5,171,1979,82,14152,0.0766,0.0795,0.6759,0.1423
chimanimani_s2_1222.h5,3344,596,1429,11015,0.6228,0.8487,0.7006,0.7676
chimanimani_s2_1222.h5,90,1764,257,14273,0.0426,0.0485,0.2594,0.0818
chimanimani_s2_1041.h5,406,1772,215,13991,0.1697,0.1864,0.6538,0.2901
chimanimani_s2_1264.h5,301,274,1706,14103,0.1320,0.5235,0.1500,0.2332
chimanimani_s2_1041.h5,113,1624,354,14293,0.0540,0.0651,0.2420,0.1025
chimanimani_s2_1041.h5,2576,1969,5,11834,0.5662,0.5668,0.9981,0.7230
chimanimani_s2_1390.h5,137,1797,153,14297,0.0656,0.0708,0.4724,0.1232
chimanimani_s2_1041.h5,623,1439,509,13813,0.2423,0.3021,0.5504,0.3901
chimanimani_s2_1390.h5,0,1884,64,14436,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,1510,51,1894,12929,0.4370,0.9673,0.4436,0.6083
chimanimani_s2_1264.h5,504,1877,64,13939,0.2061,0.2117,0.8873,0.3418
chimanimani_s2_1041.h5,0,1755,175,14454,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,164,1063,861,14296,0.0785,0.1337,0.1600,0.1456
chimanimani_s2_126.h5,1677,139,1768,12800,0.4679,0.9235,0.4868,0.6375
chimanimani_s2_1264.h5,68,1210,696,14410,0.0344,0.0532,0.0890,0.0666
chimanimani_s2_1264.h5,160,1485,408,14331,0.0779,0.0973,0.2817,0.1446
chimanimani_s2_1390.h5,269,1819,61,14235,0.1252,0.1288,0.8152,0.2225
chimanimani_s2_1223.h5,301,1498,376,14209,0.1384,0.1673,0.4446,0.2431
chimanimani_s2_126.h5,463,250,1620,14051,0.1985,0.6494,0.2223,0.3312
chimanimani_s2_1223.h5,6961,1483,383,7557,0.7886,0.8244,0.9478,0.8818
chimanimani_s2_1390.h5,104,1762,102,14416,0.0528,0.0557,0.5049,0.1004
chimanimani_s2_1041.h5,135,0,1825,14424,0.0689,1.0000,0.0689,0.1289
chimanimani_s2_1390.h5,396,1070,752,14166,0.1785,0.2701,0.3449,0.3030
chimanimani_s2_1295.h5,806,690,1109,13779,0.3094,0.5388,0.4209,0.4726
chimanimani_s2_1041.h5,160,1605,193,14426,0.0817,0.0907,0.4533,0.1511
chimanimani_s2_1041.h5,148,1788,6,14442,0.0762,0.0764,0.9610,0.1416
chimanimani_s2_1019.h5,52,1661,132,14539,0.0282,0.0304,0.2826,0.0548
chimanimani_s2_1222.h5,1143,13,1778,13450,0.3896,0.9888,0.3913,0.5607
chimanimani_s2_1019.h5,987,1234,555,13608,0.3555,0.4444,0.6401,0.5246
chimanimani_s2_126.h5,178,745,1043,14418,0.0905,0.1928,0.1458,0.1660
chimanimani_s2_1223.h5,311,1055,732,14286,0.1482,0.2277,0.2982,0.2582
chimanimani_s2_1264.h5,278,1095,691,14320,0.1347,0.2025,0.2869,0.2374
chimanimani_s2_1390.h5,168,78,1697,14441,0.0865,0.6829,0.0901,0.1592
chimanimani_s2_1295.h5,0,1716,37,14631,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,0,1745,0,14639,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,1492,1057,678,13157,0.4623,0.5853,0.6876,0.6323
chimanimani_s2_1019.h5,633,1714,1,14036,0.2696,0.2697,0.9984,0.4247
chimanimani_s2_1019.h5,38,1579,121,14646,0.0219,0.0235,0.2390,0.0428
chimanimani_s2_1223.h5,205,1446,252,14481,0.1077,0.1242,0.4486,0.1945
chimanimani_s2_1223.h5,463,708,987,14226,0.2146,0.3954,0.3193,0.3533
chimanimani_s2_1295.h5,99,886,797,14602,0.0556,0.1005,0.1105,0.1053
chimanimani_s2_126.h5,252,360,1322,14450,0.1303,0.4118,0.1601,0.2306
chimanimani_s2_1041.h5,1424,1113,563,13284,0.4594,0.5613,0.7167,0.6295
chimanimani_s2_1222.h5,9,1653,14,14708,0.0054,0.0054,0.3913,0.0107
chimanimani_s2_1264.h5,0,1661,6,14717,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,100,1608,41,14635,0.0572,0.0585,0.7092,0.1082
chimanimani_s2_1222.h5,0,1649,0,14735,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,369,1603,43,14369,0.1831,0.1871,0.8956,0.3096
chimanimani_s2_1295.h5,3426,335,1308,11315,0.6759,0.9109,0.7237,0.8066
chimanimani_s2_1390.h5,1358,508,1133,13385,0.4528,0.7278,0.5452,0.6234
chimanimani_s2_1222.h5,52,1601,37,14694,0.0308,0.0315,0.5843,0.0597
chimanimani_s2_1264.h5,140,1192,439,14613,0.0791,0.1051,0.2418,0.1465
chimanimani_s2_1295.h5,1493,1462,167,13262,0.4782,0.5052,0.8994,0.6470
chimanimani_s2_1264.h5,12,1616,10,14746,0.0073,0.0074,0.5455,0.0145
chimanimani_s2_126.h5,206,1591,30,14557,0.1128,0.1146,0.8729,0.2027
chimanimani_s2_1019.h5,92,908,702,14682,0.0541,0.0920,0.1159,0.1026
chimanimani_s2_1041.h5,1591,604,988,13201,0.4998,0.7248,0.6169,0.6665
chimanimani_s2_1295.h5,1218,514,1078,13574,0.4335,0.7032,0.5305,0.6048
chimanimani_s2_1222.h5,443,770,819,14352,0.2180,0.3652,0.3510,0.3580
chimanimani_s2_1222.h5,417,869,719,14379,0.2080,0.3243,0.3671,0.3443
chimanimani_s2_1222.h5,22,1216,368,14778,0.0137,0.0178,0.0564,0.0270
chimanimani_s2_1390.h5,430,828,752,14374,0.2139,0.3418,0.3638,0.3525
chimanimani_s2_1019.h5,329,1007,565,14483,0.1731,0.2463,0.3680,0.2951
chimanimani_s2_1019.h5,491,9,1556,14328,0.2388,0.9820,0.2399,0.3856
chimanimani_s2_1223.h5,350,432,1130,14472,0.1831,0.4476,0.2365,0.3095
